id,pop,survey,season,sampler,site,site_code,old_site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,included_LandRes,250m_lon,250m_lat,100m_lon,100m_lat,lon_old,lat_old,service,plate_location,Relatedness
C_NOV61,Central,2022 Dry Season,Dry,Breanna Williams,10 Mile Bore,10MB,10MB,8/10/2022 10:50,8/10/2022 11:40,No,Yes,BTF245,Nov_2023,Yes,146.25598,-21.92148,146.25564,-21.919132,146.255729,-21.920341,DPoep23-8916,1-E8,Unrelated
C_NOV62,Central,2022 Dry Season,Dry,Breanna Williams,10 Mile Bore,10MB,10MB,8/10/2022 13:18,8/10/2022 13:37,No,Yes,BTF246,Nov_2023,Yes,146.25598,-21.91898,146.25664,-21.919132,146.255729,-21.920341,DPoep23-8916,1-F8,Unrelated
C_NOV70,Central,2022 Dry Season,Dry,Breanna Williams,10 Mile Bore,10MB,10MB,13/10/2022 8:40,13/10/2022 9:53,No,Yes,BTF272,Nov_2023,Yes,146.25848,-21.91898,146.25664,-21.920132,146.255712,-21.920266,DPoep23-8916,1-F9,Unrelated
C_NOV71,Central,2022 Dry Season,Dry,Chays Ogston,10 Mile Bore,10MB,10MB,15/10/2022 15:55,15/10/2022 16:13,No,Yes,BTF285,Nov_2023,Yes,146.25848,-21.92148,146.25664,-21.921132,146.255729,-21.920341,DPoep23-8916,1-G9,Unrelated
C_NOV72,Central,2022 Dry Season,Dry,Chays Ogston,10 Mile Bore,10MB,10MB,15/10/2022 15:55,15/10/2022 16:25,No,Yes,BTF286,Nov_2023,Yes,146.25848,-21.92398,146.25564,-21.921132,146.255729,-21.920341,DPoep23-8916,1-H9,Unrelated
C_BTF9,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,7/09/2021 1:50,7/09/2021 3:25,No,Yes,BTF9,Jul_2022,No,NA,NA,146.271649,-21.915098,146.271978,-21.914986,DPeop22-7457,1-A2,Unrelated
C_BTF11,Central,2021 Dry Season,Dry,Dean Jones,10 Mile Bore,11MS,10MB,8/09/2021 1:40,8/09/2021 2:10,No,Yes,BTF11,Jul_2022,No,NA,NA,146.271649,-21.914098,146.271978,-21.914986,DPeop22-7457,1-C2,Unrelated
C_BTF41,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 10:06,14/09/2021 11:20,No,Yes,BTF41,Jul_2022,No,NA,NA,146.272649,-21.914098,146.271978,-21.914986,DPeop22-7457,1-A6,Unrelated
C_BTF49,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 3:22,14/09/2021 3:35,Yes,Yes,BTF49,Jul_2022,No,NA,NA,146.272649,-21.915098,146.271978,-21.914986,DPeop22-7457,1-A7,Unrelated
C_BTF10,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,7/09/2021 1:50,7/09/2021 3:13,No,Yes,BTF10,Jul_2022,No,NA,NA,146.272649,-21.916098,146.271978,-21.914986,DPeop22-7457,1-B2,Unrelated
C_BTF44,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 12:15,14/09/2021 12:52,No,Yes,BTF44,Jul_2022,No,NA,NA,146.271649,-21.916098,146.271978,-21.914986,DPeop22-7457,1-D6,Unrelated
C_BTF5,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,7/09/2021 11:50,7/09/2021 12:44,No,Yes,BTF5,Jul_2022,No,NA,NA,146.270649,-21.916098,146.271978,-21.914986,DPeop22-7457,1-E1,Unrelated
C_BTF38,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 10:06,14/09/2021 10:22,Yes,Yes,BTF38,Jul_2022,No,NA,NA,146.270649,-21.915098,146.271978,-21.914986,DPeop22-7457,1-F5,Unrelated
C_BTF7,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,7/09/2021 1:50,7/09/2021 2:19,No,Yes,BTF7,Jul_2022,Yes,146.27349,-21.91399,146.270649,-21.914098,146.271978,-21.914986,DPeop22-7457,1-G1,Unrelated
C_BTF39,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 10:06,14/09/2021 10:31,No,Yes,BTF39,Jul_2022,Yes,146.27349,-21.91149,146.270649,-21.913098,146.271978,-21.914986,DPeop22-7457,1-G5,Unrelated
C_BTF47,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 1:57,14/09/2021 2:20,No,Yes,BTF47,Jul_2022,Yes,146.27599,-21.91149,146.271649,-21.913098,146.271978,-21.914986,DPeop22-7457,1-G6,Unrelated
C_BTF8,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,7/09/2021 1:50,7/09/2021 2:47,No,Yes,BTF8,Jul_2022,Yes,146.27599,-21.91399,146.272649,-21.913098,146.271978,-21.914986,DPeop22-7457,1-H1,Unrelated
C_BTF40,Central,2021 Dry Season,Dry,Dean Jones,11 Mile Scrape,11MS,11MS,14/09/2021 10:06,14/09/2021 11:03,No,Yes,BTF40,Jul_2022,Yes,146.27599,-21.91649,146.273649,-21.913098,146.271978,-21.914986,DPeop22-7457,1-H5,Unrelated
C_NOV58,Central,2022 Dry Season,Dry,Breanna Williams,11 Mile Scrape,11MS,11MS,7/10/2022 9:10,7/10/2022 10:15,No,Yes,BTF231,Nov_2023,Yes,146.27349,-21.91649,146.273649,-21.914098,146.272037,-21.914979,DPoep23-8916,1-B8,Unrelated
C_NOV59,Central,2022 Dry Season,Dry,Breanna Williams,11 Mile Scrape,11MS,11MS,7/10/2022 10:32,7/10/2022 11:51,No,Yes,BTF236,Nov_2023,Yes,146.27099,-21.91649,146.273649,-21.915098,146.272037,-21.914979,DPoep23-8916,1-C8,Unrelated
C_NOV92,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,11MS,9/02/2022 11:38,9/02/2022 12:19,No,Yes,BTF68,Nov_2023,Yes,146.27099,-21.91399,146.273649,-21.916098,146.272062,-21.914974,DPoep23-8916,1-D12,Unrelated
C_NOV60,Central,2022 Dry Season,Dry,Breanna Williams,11 Mile Scrape,11MS,11MS,7/10/2022 15:57,7/10/2022 16:38,No,Yes,BTF243,Nov_2023,Yes,146.27099,-21.91149,146.273649,-21.917098,146.272037,-21.914979,DPoep23-8916,1-D8,Unrelated
C_NOV85,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,11MS,3/06/2022 22:50,4/06/2022 0:16,No,Yes,BTF156,Nov_2023,Yes,146.27099,-21.90899,146.272649,-21.917098,146.27205,-21.914982,DPoep23-8916,1-E11,Unrelated
C_NOV93,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,11MS,9/02/2022 2:40,9/02/2022 3:35,No,Yes,BTF70,Nov_2023,Yes,146.27349,-21.90899,146.271649,-21.917098,146.272021,-21.914966,DPoep23-8916,1-E12,Unrelated
C_NOV86,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,11MS,4/06/2022 2:00,3/06/2022 2:46,Yes,Yes,BTF158,Nov_2023,Yes,146.27599,-21.90899,146.270649,-21.917098,146.27205,-21.914982,DPoep23-8916,1-F11,Unrelated
C_NOV94,Central,2022 Early Wet Season,Early Wet,Breanna Williams,11 Mile Scrape,11MS,11MS,9/02/2022 2:40,9/02/2022 3:35,No,Yes,BTF71,Nov_2023,Yes,146.27849,-21.90899,146.269649,-21.917098,146.272024,-21.914976,DPoep23-8916,1-F12,Unrelated
C_NOV87,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,11MS,4/06/2022 3:50,4/06/2022 4:45,No,Yes,BTF163,Nov_2023,Yes,146.27849,-21.91149,146.269649,-21.916098,146.27205,-21.914982,DPoep23-8916,1-G11,Unrelated
C_NOV80,Central,2022 Wet Season,Wet,Emily Drummond,11 Mile Scrape,11MS,11MS,3/06/2022 22:50,3/06/2022 23:40,Yes,Yes,BTF154,Nov_2023,Yes,146.27849,-21.91399,146.269649,-21.915098,146.27205,-21.914982,DPoep23-8916,1-H10,Unrelated
C_BTF26,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 10:50,13/09/2021 11:51,No,Yes,BTF26,Jul_2022,Yes,146.33351,-21.94898,146.333634,-21.949131,146.333546,-21.948902,DPeop22-7457,1-B4,Unrelated
C_BTF27,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:02,13/09/2021 11:28,No,Yes,BTF27,Jul_2022,Yes,146.33351,-21.94648,146.333634,-21.948131,146.333546,-21.948902,DPeop22-7457,1-C4,Unrelated
C_BTF35,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 1:47,13/09/2021 2:05,No,Yes,BTF35,Jul_2022,Yes,146.33601,-21.94648,146.334634,-21.948131,146.333546,-21.948902,DPeop22-7457,1-C5,Unrelated
C_BTF28,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:19,13/09/2021 12:01,No,Yes,BTF28,Jul_2022,Yes,146.33601,-21.94898,146.334634,-21.949131,146.333546,-21.948902,DPeop22-7457,1-D4,Unrelated
C_BTF36,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 2:27,13/09/2021 2:44,No,Yes,BTF36,Jul_2022,Yes,146.33601,-21.95148,146.334634,-21.950131,146.333546,-21.948902,DPeop22-7457,1-D5,Unrelated
C_BTF37,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 3:30,13/09/2021 3:50,No,Yes,BTF37,Jul_2022,Yes,146.33351,-21.95148,146.333634,-21.950131,146.333546,-21.948902,DPeop22-7457,1-E5,Unrelated
C_BTF30,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:33,13/09/2021 12:20,No,Yes,BTF30,Jul_2022,Yes,146.33101,-21.95148,146.332634,-21.950131,146.333546,-21.948902,DPeop22-7457,1-F4,Unrelated
C_BTF31,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:33,13/09/2021 12:30,No,Yes,BTF31,Jul_2022,Yes,146.33101,-21.94898,146.332634,-21.949131,146.333546,-21.948902,DPeop22-7457,1-G4,Unrelated
C_BTF32,Central,2021 Dry Season,Dry,Dean Jones,Three-ways Fence Scrape,3WFS,3WFS,13/09/2021 11:33,13/09/2021 12:41,No,Yes,BTF32,Jul_2022,Yes,146.33101,-21.94648,146.332634,-21.948131,146.333546,-21.948902,DPeop22-7457,1-H4,Unrelated
C_NOV73,Central,2022 Early Wet Season,Early Wet,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,17/02/2022 4:28,17/02/2022 17:40,No,Yes,BTF129,Nov_2023,Yes,146.34594,-21.95137,146.344644,-21.951149,146.34478,-21.950928,DPoep23-8916,1-A10,Unrelated
C_NOV81,Central,2022 Wet Season,Wet,Emily Drummond,Three-ways Fence Scrape,3WFS_2,3WFS,6/06/2022 3:50,6/06/2022 4:56,Yes,Yes,BTF169,Nov_2023,Yes,146.34594,-21.94887,146.345644,-21.950149,146.345044,-21.950855,DPoep23-8916,1-A11,Unrelated
C_NOV68,Central,2022 Dry Season,Dry,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,11/10/2022 11:45,11/10/2022 12:08,No,Yes,BTF258,Nov_2023,Yes,146.34844,-21.94887,146.345644,-21.951149,146.345083,-21.95085,DPoep23-8916,1-D9,Unrelated
C_NOV69,Central,2022 Dry Season,Dry,Breanna Williams,Three-ways Fence Scrape,3WFS_2,3WFS,11/10/2022 14:05,11/10/2022 14:25,No,Yes,BTF261,Nov_2023,Yes,146.34844,-21.95137,146.345644,-21.952149,146.345083,-21.95085,DPoep23-8916,1-E9,Unrelated
C_BTF57,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 11:07,15/09/2021 11:52,No,Yes,BTF57,Jul_2022,Yes,146.29596,-22.01637,146.295629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-A8,Unrelated
C_BTF58,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 12:13,15/09/2021 12:34,Yes,Yes,BTF58,Jul_2022,Yes,146.29596,-22.01387,146.295629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-B8,Unrelated
C_BTF52,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 9:18,15/09/2021 10:02,No,Yes,BTF52,Jul_2022,Yes,146.29846,-22.01387,146.296629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-D7,Unrelated
C_BTF60,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 12:13,15/09/2021 1:03,No,Yes,BTF60,Jul_2022,Yes,146.29846,-22.01637,146.296629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-D8,Unrelated
C_BTF61,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 1:54,15/09/2021 2:06,Yes,Yes,BTF61,Jul_2022,Yes,146.29846,-22.01887,146.296629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-E8,Unrelated
C_BTF14,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 12:45,10/09/2021 1:02,No,Yes,BTF14,Jul_2022,Yes,146.29596,-22.01887,146.295629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-F2,Unrelated
C_BTF15,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 12:50,10/09/2021 1:22,No,No,BTF15,Jul_2022,Yes,146.29346,-22.01887,146.294629,-22.017126,146.29508,-22.01683,DPeop22-7457,1-G2,Unrelated
C_BTF16,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,10/09/2021 2:00,10/09/2021 2:15,No,Yes,BTF16,Jul_2022,Yes,146.29346,-22.01637,146.294629,-22.016126,146.29508,-22.01683,DPeop22-7457,1-H2,Unrelated
C_BTF56,Central,2021 Dry Season,Dry,Dean Jones,Four Mile Bore,4MB,4MB,15/09/2021 10:51,15/09/2021 11:46,No,Yes,BTF56,Jul_2022,Yes,146.29346,-22.01387,146.294629,-22.015126,146.29508,-22.01683,DPeop22-7457,1-H7,Unrelated
C_NOV53,Central,2022 Dry Season,Dry,Chays Ogston,4 Mile Bore,4MB,4MB,15/10/2022 7:25,15/10/2022 8:35,No,Yes,BTF288,Nov_2023,Yes,146.29346,-22.01137,146.294629,-22.014126,146.295371,-22.01643,DPoep23-8916,1-E7,Unrelated
C_NOV54,Central,2022 Dry Season,Dry,Chays Ogston,4 Mile Bore,4MB,4MB,15/10/2022 7:25,15/10/2022 7:48,No,Yes,BTF289,Nov_2023,Yes,146.29596,-22.01137,146.295629,-22.014126,146.295371,-22.01643,DPoep23-8916,1-F7,Unrelated
C_NOV89,Central,2022 Wet Season,Wet,Dean Jones,Boundary Rd 6km N 4mile bore,BR,BR,7/06/2022 0:15,7/06/2022 0:55,No,Yes,BTF176,Nov_2023,Yes,146.27093,-21.96139,146.27165,-21.96214,146.271546,-21.962496,DPoep23-8916,1-A12,Unrelated
